MODE: DFS_LIST_ITERATIVE
From Node 1 to Node 20
2182 (x: 31, y: 43, z: 0)
2183 (x: 32, y: 43, z: 0)
2184 (x: 33, y: 43, z: 0)
2185 (x: 34, y: 43, z: 0)
2186 (x: 35, y: 43, z: 0)
2187 (x: 36, y: 43, z: 0)
2188 (x: 37, y: 43, z: 0)
2189 (x: 38, y: 43, z: 0)
2190 (x: 39, y: 43, z: 0)
2191 (x: 40, y: 43, z: 0)
2192 (x: 41, y: 43, z: 0)
2193 (x: 42, y: 43, z: 0)
2194 (x: 43, y: 43, z: 0)
2195 (x: 44, y: 43, z: 0)
2196 (x: 45, y: 43, z: 0)
2197 (x: 46, y: 43, z: 0)
2198 (x: 47, y: 43, z: 0)
2199 (x: 48, y: 43, z: 0)
2200 (x: 49, y: 43, z: 0)
2150 (x: 49, y: 42, z: 0)
2149 (x: 48, y: 42, z: 0)
2148 (x: 47, y: 42, z: 0)
2147 (x: 46, y: 42, z: 0)
2146 (x: 45, y: 42, z: 0)
2145 (x: 44, y: 42, z: 0)
2144 (x: 43, y: 42, z: 0)
2143 (x: 42, y: 42, z: 0)
2142 (x: 41, y: 42, z: 0)
2141 (x: 40, y: 42, z: 0)
2140 (x: 39, y: 42, z: 0)
2139 (x: 38, y: 42, z: 0)
2138 (x: 37, y: 42, z: 0)
2137 (x: 36, y: 42, z: 0)
2136 (x: 35, y: 42, z: 0)
2135 (x: 34, y: 42, z: 0)
2134 (x: 33, y: 42, z: 0)
2133 (x: 32, y: 42, z: 0)
2132 (x: 31, y: 42, z: 0)
2131 (x: 30, y: 42, z: 0)
2130 (x: 29, y: 42, z: 0)
2129 (x: 28, y: 42, z: 0)
2128 (x: 27, y: 42, z: 0)
2127 (x: 26, y: 42, z: 0)
2126 (x: 25, y: 42, z: 0)
2125 (x: 24, y: 42, z: 0)
2124 (x: 23, y: 42, z: 0)
2123 (x: 22, y: 42, z: 0)
2122 (x: 21, y: 42, z: 0)
2121 (x: 20, y: 42, z: 0)
2120 (x: 19, y: 42, z: 0)
2119 (x: 18, y: 42, z: 0)
2118 (x: 17, y: 42, z: 0)
2117 (x: 16, y: 42, z: 0)
2116 (x: 15, y: 42, z: 0)
2115 (x: 14, y: 42, z: 0)
2114 (x: 13, y: 42, z: 0)
2113 (x: 12, y: 42, z: 0)
2112 (x: 11, y: 42, z: 0)
2111 (x: 10, y: 42, z: 0)
2110 (x: 9, y: 42, z: 0)
2109 (x: 8, y: 42, z: 0)
2108 (x: 7, y: 42, z: 0)
2107 (x: 6, y: 42, z: 0)
2106 (x: 5, y: 42, z: 0)
2105 (x: 4, y: 42, z: 0)
2104 (x: 3, y: 42, z: 0)
2103 (x: 2, y: 42, z: 0)
